,Sample1 PageRank on short path,Sample1 BetweennessCentrality on short path,Sample1 TotalDegree on short path,Sample1 InDegree on short path,Sample1 OutDegree on short path,Sample2 PageRank on short path,Sample2 BetweennessCentrality on short path,Sample2 TotalDegree on short path,Sample2 InDegree on short path,Sample2 OutDegree on short path,Sample3 PageRank on short path,Sample3 BetweennessCentrality on short path,Sample3 TotalDegree on short path,Sample3 InDegree on short path,Sample3 OutDegree on short path,Sample4 PageRank on short path,Sample4 BetweennessCentrality on short path,Sample4 TotalDegree on short path,Sample4 InDegree on short path,Sample4 OutDegree on short path,Sample5 PageRank on short path,Sample5 BetweennessCentrality on short path,Sample5 TotalDegree on short path,Sample5 InDegree on short path,Sample5 OutDegree on short path,Mean PageRank on short path,Mean BetweennessCentrality on short path,Mean TotalDegree on short path,Mean InDegree on short path,Mean OutDegree on short path
16,6.084639822912518,6.0840704592654,6.0840704592654,6.0840704592654,6.0840704592654,5.9648763493403925,5.958797712767291,5.9648763493403925,5.9648763493403925,5.9648763493403925,6.080634616190047,6.068838847008768,6.080056325377779,6.080634616190047,6.080056325377779,6.173158364216342,6.1734775813913965,6.174700501046645,6.174700501046645,6.172521857679976,6.075153782569517,6.06977020836294,6.075153782569517,6.075153782569517,6.075153782569517,6.075692587045763,6.0709909617591595,6.075771483519946,6.075887141682399,6.075335754846613
17,6.108871239656522,6.108871239656522,6.108871239656522,6.108871239656522,6.108871239656522,5.983301270844313,5.972383677157055,5.983301270844313,5.983301270844313,5.983301270844313,6.098259715729146,6.091866541158134,6.094379270926496,6.098930726729821,6.098999107124116,6.188120362581064,6.186388131735396,6.188120362581064,6.188120362581064,6.188120362581064,6.09422187600623,6.0907275769416005,6.09422187600623,6.09422187600623,6.09422187600623,6.094554892963455,6.090047433329741,6.093778804002925,6.09468909516359,6.094702771242448
18,6.127518381983292,6.125965154050168,6.127518381983292,6.127518381983292,6.127518381983292,5.998274089932586,5.9898071801995645,6.00381448503157,6.00381448503157,5.999095373044126,6.112167070446499,6.101661392490341,6.113579058426405,6.113579058426405,6.113579058426405,6.20264311188854,6.199685886483961,6.20264311188854,6.20264311188854,6.20264311188854,6.108230703611766,6.104560002203256,6.108230703611766,6.109927194915648,6.1113594004375225,6.109766671572538,6.1043359230854595,6.1111571481883145,6.111496446449091,6.110839065155977
19,6.145799817157269,6.144975532434159,6.145799817157269,6.145799817157269,6.145799817157269,6.009634974906919,6.003244081489064,6.019197004540849,6.019197004540849,6.019934206659086,6.131899472314206,6.120521563785076,6.131899472314206,6.131899472314206,6.131899472314206,6.218245674312248,6.211163284942345,6.218245674312248,6.218245674312248,6.218245674312248,6.1210955922850285,6.124065461726255,6.125551646142247,6.124065461726255,6.125551646142247,6.125335106195135,6.120793984875379,6.128138722893364,6.127841486010165,6.128286163317012
20,6.1635890231144055,6.16186085955733,6.1635890231144055,6.1635890231144055,6.1635890231144055,6.023385473895133,6.022237381597445,6.035363641020621,6.035363641020621,6.035363641020621,6.146248847106692,6.139033920192627,6.146310778709199,6.148453847942339,6.146310778709199,6.234504628539561,6.223454379033751,6.234504628539561,6.234504628539561,6.231701126626841,6.138754362721137,6.135383490691432,6.141622154365736,6.141622154365736,6.141622154365736,6.141296467075386,6.136394006214517,6.144278045149905,6.144706658996533,6.14371734476736
21,6.1807375481286275,6.1807375481286275,6.1807375481286275,6.1807375481286275,6.1807375481286275,6.038593104387986,6.034283331362251,6.048277481560714,6.048470287417884,6.048277481560714,6.160998452366919,6.1500930231953435,6.157307839725083,6.159512622704578,6.157307839725083,6.248051796836099,6.240878296073895,6.248051796836099,6.252407544378698,6.248051796836099,6.155215183715565,6.151599534782324,6.1570200939241415,6.1570200939241415,6.1570200939241415,6.156719217087039,6.151518346708488,6.158278952034933,6.1596296193107865,6.158278952034933
22,6.195394232101859,6.19122556110909,6.195394232101859,6.193383704644837,6.195394232101859,6.060405688296255,6.057165343452569,6.0655406221773704,6.060405688296255,6.0655406221773704,6.172672499591109,6.1598398775489525,6.1689943408595145,6.172721083394114,6.1689943408595145,6.26616292269189,6.253500701490071,6.26616292269189,6.26616292269189,6.26616292269189,6.170762162944736,6.168217009204856,6.170020144873014,6.170020144873014,6.170020144873014,6.17307950112517,6.165989698561108,6.173222452540729,6.172538708780022,6.173222452540729
23,6.20987459556713,6.20162071818575,6.208266804836791,6.208266804836791,6.208266804836791,6.077809609695007,6.077809609695007,6.077809609695007,6.077809609695007,6.077809609695007,6.188035206303447,6.174675408864441,6.184494622577468,6.184494622577468,6.184544058442916,6.278997919839476,6.26446118926657,6.278997919839476,6.278997919839476,6.277426722180413,6.18238748514484,6.183887715935046,6.18238748514484,6.18238748514484,6.18238748514484,6.187420963309981,6.1804909283893625,6.186391288418717,6.186391288418717,6.186086936059994
24,6.223022717978057,6.211113539030156,6.2202287258716185,6.223022717978057,6.2202287258716185,6.088321720949881,6.088321720949881,6.094822679599684,6.094822679599684,6.092523736064845,6.203717203987872,6.19380934472416,6.199716465308203,6.199716465308203,6.200371677112224,6.2887928757137574,6.273255207955606,6.290334735662144,6.288765734153028,6.290334735662144,6.199405260861242,6.196576442781047,6.199405260861242,6.199405260861242,6.199405260861242,6.200651955898162,6.19261525108817,6.200901573460579,6.2011465715800425,6.200572827114415
25,6.237004027260708,6.2250496086940394,6.234862856226746,6.237004027260708,6.234534410346257,6.105624297059206,6.098754069666762,6.109772329982144,6.109772329982144,6.1095046511012745,6.215778481302951,6.204455196318469,6.215778481302951,6.215778481302951,6.212790959043133,6.300540468691031,6.289373828898303,6.3002789520702445,6.302110058245282,6.3002789520702445,6.210532497086928,6.211662708396662,6.2158414406309195,6.2158414406309195,6.2158414406309195,6.213895954280165,6.205859082394847,6.215306812042601,6.216101267484402,6.214590082638365
26,6.249938699544744,6.238018990352344,6.249117633221249,6.249117633221249,6.247303882678925,6.123192933734475,6.114143536244728,6.127159654155197,6.127159654155197,6.127159654155197,6.231457485448712,6.216763330215154,6.227474075445816,6.227474075445816,6.224637479555395,6.308103002686435,6.29897971098204,6.31482858180477,6.312428794953224,6.31482858180477,6.221259489317616,6.22371373759359,6.22725500969847,6.22725500969847,6.22725500969847,6.226790322146397,6.218323861077572,6.229166990865101,6.228687033494792,6.228236921578551
